,LTV_M,Purpose_M,Coop_M,Product_M,Occup_M,Back_M,BoCreditScor_M,PropType_M,Year,Bank,MortDate,Assigned_ID,Portfolio_Worthy
144,0.13,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2017,2092246,0
145,0.13,1.0,1.0,0.879,1.0,1.0,1.76,1.0,2017,Atlanta,2017,2092247,1
146,0.13,1.0,1.0,0.879,1.0,1.0,1.76,1.0,2017,Atlanta,2017,2092248,1
147,0.13,1.61,1.0,0.879,1.0,1.0,2.85,1.0,2017,Atlanta,2017,2092249,0
148,0.13,1.0,1.0,0.879,1.0,1.431,1.76,1.0,2017,Atlanta,2017,2092250,1
149,0.13,1.0,1.0,0.879,1.0,2.019,0.743,1.0,2017,Atlanta,2017,2092251,1
150,0.13,1.0,1.0,0.879,1.0,2.345,0.743,1.0,2017,Atlanta,2017,2092252,1
151,0.13,1.0,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092253,1
152,0.13,1.61,1.0,0.879,1.0,2.02,0.743,1.0,2017,Atlanta,2017,2092254,1
153,0.127,1.0,1.0,0.879,1.0,2.02,1.76,1.0,2017,Atlanta,2017,2092255,1
154,0.13,1.61,1.0,0.879,1.0,1.431,2.85,1.0,2017,Atlanta,2017,2092256,0
155,0.13,1.0,1.0,0.879,1.0,2.019,4.81,1.0,2017,Atlanta,2017,2092257,1
156,0.13,1.0,1.0,0.879,1.0,1.0,4.81,1.0,2017,Atlanta,2017,2092258,1
157,0.13,1.61,1.0,0.879,1.0,2.02,2.85,1.0,2017,Atlanta,2017,2092259,1
158,0.13,1.61,1.0,0.879,1.0,2.019,1.76,1.0,2017,Atlanta,2017,2092260,1
159,0.13,1.61,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092261,1
160,0.13,1.0,1.0,0.879,1.0,2.02,1.76,1.0,2017,Atlanta,2017,2092262,1
161,0.13,1.61,1.0,0.879,1.0,2.019,1.76,1.0,2017,Atlanta,2017,2092263,1
162,0.13,1.61,1.0,0.879,1.0,1.431,0.743,1.0,2017,Atlanta,2017,2092264,0
163,0.13,1.61,1.0,0.879,1.0,1.431,1.76,1.0,2017,Atlanta,2017,2092265,0
164,0.13,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2017,2092266,0
165,0.13,1.0,1.0,0.879,1.0,1.431,4.81,1.0,2017,Atlanta,2016,2092267,1
166,0.13,1.61,1.0,0.879,1.0,1.431,1.76,1.0,2017,Atlanta,2017,2092268,0
167,0.13,1.61,1.0,0.879,1.0,1.0,1.76,1.0,2017,Atlanta,2017,2092269,0
168,0.13,1.61,1.0,0.879,1.0,1.431,0.743,1.0,2017,Atlanta,2017,2092270,0
169,0.13,1.0,1.0,0.879,1.0,2.019,1.76,1.0,2017,Atlanta,2017,2092271,1
170,0.13,1.0,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092272,1
171,0.13,1.0,1.0,0.879,1.0,2.019,0.743,1.0,2017,Atlanta,2017,2092273,1
172,0.13,1.0,1.0,0.879,1.0,2.02,0.743,1.0,2017,Atlanta,2017,2092274,1
173,0.13,1.0,1.0,0.879,1.0,1.0,2.85,1.0,2017,Atlanta,2017,2092275,1
174,0.13,1.61,1.0,0.879,1.0,2.02,0.743,1.0,2017,Atlanta,2017,2092276,1
175,0.13,1.0,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2017,2092277,1
176,0.13,1.0,1.0,0.879,1.0,1.0,1.76,1.0,2017,Atlanta,2017,2092278,1
177,0.13,1.0,1.0,0.879,1.0,2.019,1.76,1.0,2017,Atlanta,2017,2092279,1
178,0.13,1.0,1.0,0.879,1.0,2.019,2.85,1.146,2017,Atlanta,2017,2092280,1
179,0.13,1.0,1.0,0.879,1.0,2.02,4.81,1.0,2017,Atlanta,2017,2092281,1
180,0.13,1.0,1.0,0.879,1.0,1.431,2.85,1.0,2017,Atlanta,2017,2092282,1
181,0.13,1.0,1.0,0.879,1.0,2.345,0.743,1.0,2017,Atlanta,2017,2092283,1
182,0.13,1.0,1.0,0.879,1.0,2.02,2.85,1.0,2017,Atlanta,2017,2092284,1
183,0.13,1.0,1.0,0.879,1.0,2.02,1.76,1.146,2017,Atlanta,2017,2092285,1
184,0.13,1.0,1.0,0.879,1.0,1.0,2.85,1.0,2017,Atlanta,2017,2092286,1
185,0.13,1.0,1.0,0.879,1.0,2.019,2.85,1.0,2017,Atlanta,2017,2092287,1
186,0.13,1.0,1.0,0.879,1.0,2.02,4.81,1.0,2017,Atlanta,2017,2092288,1
187,0.13,1.0,1.0,0.879,1.0,2.345,0.743,1.0,2017,Atlanta,2017,2092289,1
188,0.13,1.0,1.0,0.879,1.0,1.0,1.76,1.0,2017,Atlanta,2017,2092290,1
189,0.13,1.61,1.0,0.879,1.0,2.02,2.85,1.0,2017,Atlanta,2017,2092291,1
190,0.13,1.0,1.0,0.879,1.0,2.02,0.743,1.0,2017,Atlanta,2017,2092292,1
191,0.13,1.0,1.0,0.879,1.0,1.0,2.85,1.146,2017,Atlanta,2017,2092293,1
192,0.13,1.0,1.0,0.879,1.0,2.345,0.743,1.0,2017,Atlanta,2017,2092294,1
193,0.13,1.0,1.0,0.879,1.0,2.019,7.426,1.146,2017,Atlanta,2017,2092295,1
194,0.13,1.0,1.0,0.879,1.0,1.431,1.76,1.0,2017,Atlanta,2017,2092296,1
195,0.13,1.0,1.0,0.879,1.0,2.345,4.81,1.0,2017,Atlanta,2017,2092297,1
196,0.13,1.0,1.0,0.879,1.0,2.019,1.76,1.0,2017,Atlanta,2016,2092298,1
197,0.13,1.0,1.0,0.879,1.0,2.345,2.85,1.0,2017,Atlanta,2017,2092299,1
198,0.13,1.0,1.0,0.879,1.0,1.431,2.85,1.0,2017,Atlanta,2017,2092300,1
199,0.13,1.0,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092301,1
200,0.127,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2017,2092302,0
201,0.13,1.61,1.0,0.879,1.0,2.019,2.85,1.0,2017,Atlanta,2017,2092303,1
202,0.13,1.0,1.0,0.879,1.0,2.019,0.743,1.0,2017,Atlanta,2017,2092304,1
203,0.13,1.0,1.0,0.879,1.0,1.431,2.85,1.0,2017,Atlanta,2017,2092305,1
204,0.13,1.61,1.0,0.879,1.0,2.02,0.743,1.0,2017,Atlanta,2017,2092306,1
205,0.13,1.0,1.0,0.879,1.0,2.019,0.743,1.0,2017,Atlanta,2017,2092307,1
206,0.13,1.61,1.0,0.879,1.0,1.0,1.76,1.0,2017,Atlanta,2017,2092308,0
207,0.13,1.0,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2017,2092309,1
208,0.13,1.61,1.0,0.879,1.0,2.345,4.81,1.0,2017,Atlanta,2017,2092310,1
209,0.13,1.0,1.0,0.879,1.0,2.019,0.743,1.0,2017,Atlanta,2017,2092311,1
210,0.13,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2017,2092312,0
211,0.13,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2017,2092313,0
212,0.13,1.61,1.0,0.879,1.0,2.02,2.85,1.0,2017,Atlanta,2017,2092314,1
213,0.13,1.0,1.0,0.879,1.0,1.431,0.743,1.0,2017,Atlanta,2017,2092315,1
214,0.13,1.0,1.0,0.879,1.0,2.02,0.743,1.0,2017,Atlanta,2017,2092316,1
215,0.13,1.0,1.0,0.879,1.0,2.345,0.743,1.0,2017,Atlanta,2017,2092317,1
216,0.13,1.0,1.0,0.879,1.0,1.0,1.76,1.0,2017,Atlanta,2017,2092318,1
217,0.13,1.61,1.0,0.879,1.0,1.0,1.76,1.0,2017,Atlanta,2017,2092319,0
218,0.13,1.0,1.0,0.879,1.0,2.019,1.76,1.0,2017,Atlanta,2017,2092320,1
219,0.13,1.0,1.0,0.879,1.0,2.02,0.743,1.0,2017,Atlanta,2017,2092321,1
220,0.13,1.61,1.0,0.879,1.0,2.02,0.743,1.0,2017,Atlanta,2017,2092322,1
221,0.13,1.0,1.0,0.879,1.0,2.019,1.76,1.0,2017,Atlanta,2017,2092323,1
222,0.13,1.0,1.0,0.879,1.0,2.02,0.743,1.146,2017,Atlanta,2017,2092324,1
223,0.13,1.0,1.0,0.879,1.0,1.0,1.76,1.0,2017,Atlanta,2017,2092325,1
224,0.13,1.0,1.0,0.879,1.0,1.0,1.76,1.0,2017,Atlanta,2017,2092326,1
225,0.13,1.0,1.0,0.879,1.0,1.431,1.76,1.0,2017,Atlanta,2017,2092327,1
226,0.13,1.0,1.0,0.879,1.0,1.0,1.76,1.0,2017,Atlanta,2017,2092328,1
227,0.13,1.0,1.0,0.879,1.0,1.431,4.81,1.0,2017,Atlanta,2017,2092329,1
228,0.13,1.0,1.0,0.879,1.0,2.019,2.85,1.0,2017,Atlanta,2017,2092330,1
229,0.13,1.0,1.0,0.879,1.0,2.345,2.85,1.0,2017,Atlanta,2017,2092331,1
230,0.13,1.0,1.0,0.879,1.0,1.0,1.76,1.0,2017,Atlanta,2017,2092332,1
231,0.13,1.0,1.0,0.879,1.0,2.02,4.81,1.0,2017,Atlanta,2017,2092333,1
232,0.13,1.0,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092334,1
233,0.13,1.0,1.0,0.879,1.0,1.431,2.85,1.0,2017,Atlanta,2017,2092335,1
234,0.13,1.0,1.0,0.879,1.0,2.019,1.76,1.0,2017,Atlanta,2017,2092336,1
235,0.13,1.0,1.0,0.879,1.0,2.345,2.85,1.0,2017,Atlanta,2017,2092337,1
236,0.13,1.0,1.0,0.879,1.0,1.431,4.81,1.0,2017,Atlanta,2017,2092338,1
237,0.13,1.0,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092339,1
238,0.13,1.0,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092340,1
239,0.13,1.0,1.0,0.879,1.0,2.019,0.743,1.146,2017,Atlanta,2017,2092341,1
240,0.13,1.0,1.0,0.879,1.0,2.019,0.743,1.0,2017,Atlanta,2017,2092342,1
241,0.13,1.61,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092343,1
242,0.13,1.0,1.0,0.879,1.0,1.0,1.76,1.0,2017,Atlanta,2017,2092344,1
243,0.13,1.0,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092345,1
244,0.13,1.61,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092346,1
245,0.13,1.61,1.0,0.879,1.0,1.0,1.76,1.0,2017,Atlanta,2017,2092347,0
246,0.13,1.0,1.0,0.879,1.0,2.019,1.76,1.0,2017,Atlanta,2017,2092348,1
247,0.13,1.61,1.0,0.879,1.0,2.019,0.743,1.0,2017,Atlanta,2017,2092349,1
248,0.13,1.0,1.0,0.879,1.0,2.019,0.743,1.0,2017,Atlanta,2017,2092350,1
249,0.13,1.0,1.0,0.879,1.0,1.431,1.76,1.0,2017,Atlanta,2017,2092351,1
250,0.13,1.0,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092352,1
251,0.13,1.0,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092353,1
252,0.13,1.61,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2017,2092354,0
253,0.13,1.0,1.0,0.879,1.0,2.019,2.85,1.0,2017,Atlanta,2017,2092355,1
254,0.13,1.61,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092356,1
255,0.13,1.0,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2017,2092357,1
256,0.13,1.0,1.0,0.879,1.0,1.0,0.743,1.0,2017,Atlanta,2017,2092358,1
257,0.13,1.0,1.0,0.879,1.0,2.345,1.76,1.0,2017,Atlanta,2017,2092359,1
258,0.13,1.0,1.0,0.879,1.0,2.02,1.76,1.0,2017,Atlanta,2017,2092360,1
